# genetated time: datetime
# histogram number: histogram_bin_num
# sample number: num_samples
# tune number: tune_num
# op_name    threshold    min    max
9 767 0 767
10 447.4284 -447.4284 408.3748
11 447.4284 -447.4284 408.3748
12 6.253053e-07 -1e-05 1e-05
13 6.253053e-07 -1e-05 1e-05
14 6.253053e-07 -1e-05 1e-05
15 6.253053e-07 -1e-05 1e-05
16 6.253053e-07 -1e-05 1e-05
17 6.253053e-07 -1e-05 1e-05
18 1.065759e+37 -1.704381e+38 1.330661e+37
19 6.253053e-07 -1e-05 1e-05
20 6.253053e-07 -1e-05 1e-05
21 6.253053e-07 -1e-05 1e-05
22 6.253053e-07 -1e-05 1e-05
23 1.065759e+37 -1.704381e+38 2.236685e+08
