# op_name    threshold    min    max
input_0 1.0000080 0.0000000 1.0000080
0.tosa.const 41.0432266 -102.5830078 97.6811905
1.tosa.const 38.1586537 -0.2784646 97.6811905
2.tosa.const 50.3074463 -143.7054749 122.0843964
3.tosa.const 1.0000080 0.0000000 1.0000080
4.tosa.const 16.4931278 -87.9203949 7.2770586
5.tosa.const 4.2729850 -0.2784646 7.2720323
6.tosa.const 41.0432266 -102.5830078 97.6811905
7.tosa.const 12.4555633 -0.2784646 26.2175198
8.tosa.const 11.2083065 -28.0139236 21.4674873
10.tosa.conv2d 41.0432266 -102.5830078 97.6811905
12.tosa.rsqrt 1.0000080 0.0000000 1.0000080
13.tosa.mul 16.4931278 -87.9203949 7.2770586
16.tosa.matmul 38.1586537 -0.2784646 97.6811905
18.tosa.add 12.4555633 -0.2784646 26.2175198
21.tosa.matmul 50.3074463 -143.7054749 122.0843964
22.tosa.add 11.2083065 -28.0139236 21.4674873
